annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2018-2019;278066;;HEBERT;Nathan;M;1999-01-06;FR;56530;Gestel;France;Non;En Terminale;X106443949Y;Lycée à classe postbac;Lycée Jean-Baptiste Colbert;Lorient;56;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Allemand;Bac en préparation;Economique et social;;Mathématiques;;
2018-2019;382382;;JACQUEMIN;King;M;2001-08-17;FR;35170;Bruz;France;Non;En Terminale;B442604266G;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;805723;ECF;DELAPORTE;Constant;M;1999-11-06;FR;22150;Plémy;France;Non boursier;En Terminale;L065492227E;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;157924;;TOUZE;Bret;M;2000-05-12;FR;61100;Flers;France;Oui;En Terminale;P501872423J;Lycée à classe postbac;Lycée Jean Guehenno;Flers;61;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1137158;233;BROCHARD;Leopold;M;1995-12-02;FR;50490;Saint-Sauveur-Lendelin;France;Non boursier;Scolarisé dans le supérieur en France;Z211526528X;Université;Université de Rennes 1;Rennes;35;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Informatique;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis sans mention;07/2015   
2016-2017;318633;186;BLOCH;Kolby;M;1998-06-25;FR;14340;Formentin;France;Non boursier;En Terminale;F229375514S;Lycée sans classe postbac;Lycée Marcel Gambier;Lisieux;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;238640;ECF;FAYE;Kimball;M;1999-02-08;FR;50730;Saint-Hilaire-du-Harcouët;France;Non boursier;En Terminale;B804254475B;Lycée à classe postbac;Lycée Julliot De La Morandiere;Granville;50;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;517202;;MARTINI;Ern;M;2000-05-23;FR;56600;Lanester;France;Non;En Terminale;D724365373X;Lycée à classe postbac;Lycée Jean Macé;Lanester;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;643520;;ROBLIN;Sly;M;1999-04-16;FR;35170;Bruz;France;Non;En Terminale;U856511931C;Lycée à classe postbac;Lycée Bréquigny;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;722851;;BEAUFILS;Jeannot;M;2000-07-10;FR;44230;Saint-Sébastien-sur-Loire;France;Non;En Terminale;H828155207S;Lycée à classe postbac;Lycée Jean Perrin;Rezé;44;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;501281;;MURAT;Irvine;M;2000-11-26;FR;35240;Le Theil-de-Bretagne;France;Non;En Terminale;N126663481G;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;382449;;NICOL;Wilfrid;M;2000-09-06;FR;35131;Chartres-de-Bretagne;France;Non;En Terminale;S762216698T;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Italien;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;501350;;LEDRU;Cleve;M;2001-11-02;FR;35360;Médréac;France;Non;En Terminale;H498948462A;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
