annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;67770176792;X122606693I;ROSE;Berniece;1997-10-13;F;FRANCAIS(E);14140;LIVAROT-PAYS-D'AUGE;Technicien;Ouvrier qualifie;S;P;2015;14;0140061R;MARCEL GAMBIER;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;67770176792;X122606693I;ROSE;Berniece;1997-10-13;F;FRANCAIS(E);14140;LIVAROT-PAYS-D'AUGE;Personne sans activite professionnelle;Ouvrier qualifie;S;P;2015;14;0140061R;MARCEL GAMBIER;C;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;64216574076;L065492227E;DELAPORTE;Constant;1999-11-06;M;FRANCAIS(E);22150;PLEMY;Personne sans activite professionnelle;Employe administratif d'entreprise;S;P;2017;22;0220056S;RABELAIS;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;64216574076;L065492227E;DELAPORTE;Constant;1999-11-06;M;FRANCAIS(E);22150;PLEMY;Personne sans activite professionnelle;Employe administratif d'entreprise;S;P;2017;22;0220056S;RABELAIS;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;87552137748;P501872423J;TOUZE;Bret;2000-05-12;M;FRANCAIS(E);61100;FLERS;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;AB;2018;61;0610021S;JEAN GUEHENNO;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;87552137748;P501872423J;TOUZE;Bret;2000-05-12;M;FRANCAIS(E);61100;FLERS;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;AB;2018;61;0610021S;JEAN GUEHENNO;A;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;76697174432;Z211526528X;BROCHARD;Leopold;1995-12-02;M;FRANCAIS(E);50490;SAINT-SAUVEUR-VILLAGES;Technicien;Non renseigne (inconnu);S;P;2015;50;0500116E;GERMAIN;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;76697174432;Z211526528X;BROCHARD;Leopold;1995-12-02;M;FRANCAIS(E);50490;SAINT-SAUVEUR-VILLAGES;Personne sans activite professionnelle;Cadre de la fonction publique;S;P;2015;50;0500116E;GERMAIN;H;
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;61114227341;F229375514S;BLOCH;Kolby;1998-06-25;M;FRANCAIS(E);14340;FORMENTIN;Personne sans activite professionnelle;Professeur, profession scientifique;S;P;2016;14;0140061R;MARCEL GAMBIER;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;61114227341;F229375514S;BLOCH;Kolby;1998-06-25;M;FRANCAIS(E);14340;FORMENTIN;Personne sans activite professionnelle;Professeur, profession scientifique;S;P;2016;14;0140061R;MARCEL GAMBIER;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;61114227341;F229375514S;BLOCH;Kolby;1998-06-25;M;FRANCAIS(E);14340;FORMENTIN;Personne sans activite professionnelle;Professeur, profession scientifique;S;P;2016;14;0140061R;MARCEL GAMBIER;A;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;80535414991;B804254475B;FAYE;Kimball;1999-02-08;M;FRANCAIS(E);50600;SAINT-HILAIRE-DU-HARCOUET;Personne sans activite professionnelle;Profession liberale;S;AB;2017;50;0500036T;JULLIOT DE LA MORANDIERE;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;80535414991;B804254475B;FAYE;Kimball;1999-02-08;M;FRANCAIS(E);50600;SAINT-HILAIRE-DU-HARCOUET;Personne sans activite professionnelle;Profession liberale;S;AB;2017;50;0500036T;JULLIOT DE LA MORANDIERE;A;
