annee_univ;no_semestre;code_nip;rg;civilite;nom;prenom;bac;groupe_td_1a;groupe_tp_1a;moy;ue11;m1101;m1102;m1103;m1104;m1105;m1106;ue12;m1201;m1202;m1203;m1204;m1205;m1206;m1207
2016-2017;S1;26365411421;50;M.;BARTH;Redd;S;H;H1;10,98;9,05;7,05;10,93;8,2;8,36;9,25;12;13,5;15,4;16;14,5;10,58;13,73;9,75;14,75
2016-2017;S1;83795827635;15;M.;BASTIEN;Daniel;S;H;H1;13,48;15,58;15,84;17,09;16,35;14,08;15,67;13,5;10,74;17,62;7;6,17;6,75;11;13,25;13,63
2016-2017;S1;50521093519;53;M.;BEGUIN;Clément;S;G;G2;10,82;10,49;7,48;11,82;12,8;9,75;10,38;12,5;11,25;13,05;7;8;11,5;14,4;11,25;13,25
2016-2017;S1;31542518167;46;M.;BIANCHI;Jon;S;H;H2;11,26;10,96;11,59;9,82;13,25;9,31;14,08;7;11,66;15,71;13;9,5;8,33;11,5;11,38;11,13
2016-2017;S1;61114227341;93;M.;BLOCH;Kolby;S;H;H2;7,42;6,77;6,53;5,79;3;5,5;9,67;14;8,26;7,46;7;9,67;4,5;11,17;10,38;11,13
2016-2017;S1;76230368587;75;M.;BORDAS;Thelonius;TI2D;G;G2;9,5;9,02;5,88;8,8;8,7;8,06;11,5;15,5;10,14;12,36;7,5;8,5;7,08;11,23;12,63;14
2016-2017;S1;46735622425;21;M.;BORDIER;Henry;S;F;F2;12,9;12,11;11,61;12,02;10,2;10,78;13,79;17;13,93;13,49;11,5;14,75;15,17;14,5;13,88;14,5
2016-2017;S1;53232672826;88;Mme;BOURY;Kristia;S;I;I1;8,12;6,81;6,85;5,32;4,55;5,5;11;10;9,83;10,25;6;6,83;10,58;12;9,88;14,63
2016-2017;S1;76697174432;59;M.;BROCHARD;Leopold;S;G;G1;10,49;10,31;9,31;11,48;12,9;5;14,21;11,5;10,72;8,65;12;7,33;9;13,73;13,5;12,5
2016-2017;S1;95783618253;68;M.;CAPITAINE;Évariste;TI2D;F;F2;9,85;9,69;9,66;8,46;9,9;7,11;11,83;14,75;10,06;14,13;11,5;7,25;5,83;9,9;8,88;13,88
2016-2017;S1;40587850116;56;Mme;CAPRON;Delicia;S;F;F1;10,7;10,43;10,05;9,36;7,15;10,78;13,13;14;11,05;10,63;8;9,5;10,67;12,93;13,5;14
2016-2017;S1;23043520781;39;M.;CARETTE;Jarod;TI2D;G;G2;11,62;12,33;8,77;15,04;13,6;12,78;13,04;10;10,69;12,56;5,5;9,33;9,08;12,77;12,25;16
2016-2017;S1;86762142689;17;M.;CHERON;Wystan;S;F;F2;13,32;13,71;12,76;12,66;18,35;11,06;14,25;16;12,8;11,43;12,5;11,08;13,33;13,9;13,75;14,5
2016-2017;S1;41334987643;78;M.;CLOAREC;Lovell;TI2D;H;H1;9,41;9,01;8,92;9,27;5,3;7;11,42;15,5;9,94;8,1;4;8,17;11,42;9,6;16,25;16,63
2016-2017;S1;77239293645;25;M.;COMPAIN;Wymond;TI2D;F;F2;12,58;12,04;11,48;12;9,5;12,94;13,58;13;13,28;13,81;11,5;11,67;14,5;16,5;10,38;12,75
2016-2017;S1;24429678732;31;M.;CONTE;Earnest;S;F;F1;12,21;11,63;11,83;10,82;10,45;12,44;11,13;14;12,97;14,76;14;10,83;11,67;12,9;13;13
2016-2017;S1;12388757575;45;M.;COSSON;Edwyn;S;F;F2;11,35;10,9;10,66;10,13;6,95;11;14,83;13;11,94;10,79;11;10,67;10,83;15,27;12,25;14,25
2016-2017;S1;42156083853;40;M.;COURT;Kristopher;S;I;I1;11,57;11,73;11,43;10,09;11,55;12,33;12,13;14,5;11,37;12,19;14;9;8,67;11,33;12,63;12,5
2016-2017;S1;77387628584;29;M.;DELMOTTE;Lon;S;F;F1;12,4;13,32;11,56;13,91;16,8;12,22;13,5;12,5;11,2;13,17;14;7,33;10;11,6;11,5;8,25
2016-2017;S1;75476768301;32;M.;DUFRESNE;Bert;TI2D;H;H1;12,02;13,35;11,73;15,27;14,05;11,28;15,96;12;10,29;14,44;1;11,5;8,83;12,1;10,88;15,75
2016-2017;S1;30001247453;51;M.;DUQUENNE;Jonathan;S;I;I2;10,9;10,3;9,44;11,29;10,85;7,92;11,46;12,75;11,68;14,15;13,5;8,67;9,33;11,17;11,63;13,38
2016-2017;S1;98213263688;79;M.;FERET;Zach;TI2D;I;I1;9,35;9,13;7,54;7,54;6,15;7,5;14,88;15,75;9,64;10,21;4;6,67;9,92;12,27;11,88;14,63
2016-2017;S1;61852223799;66;M.;FOUCHE;Randolf;TI2D;G;G1;9,97;8,92;4,8;10,29;10,4;8,67;10,13;11,5;11,33;11,61;13;8,83;9,75;11,9;11;14,38
2016-2017;S1;27447132664;6;M.;FOURRE;James;S;G;G2;15,21;15,51;14,07;17,79;18,95;16;12,04;12,5;14,82;18,57;19;9;10,17;15,57;15,25;15,25
2016-2017;S1;16241638875;12;M.;GAULTIER;Winton;S;I;I2;14,02;13,98;12,46;15,97;16,55;11,67;14;14;14,07;18,15;14;8,08;14,5;12,23;15,38;13,63
