prenom;moyenne;code_postal;niveau_etude;mention_bac
Redd;15.40;22200;1ère année d'études supérieures;B
Ike;9.25;35720;Terminale;B
Vincent;12.75;35200;Terminale;B
Bentley;13.95;22440;Terminale;B
Jay;8.05;22190;Terminale;P
Lorne;13.86;29710;Terminale;AB
Jérémie;15.50;22820;Terminale;B
Redd;8.36;22200;1ère année d'études supérieures;B
Bentley;9.50;22440;Terminale;B
Jay;12.94;22190;Terminale;P
Jérémie;17.00;22820;Terminale;B
Quin;14.80;35400;Terminale;P
Brice;8.67;72300;1ère année d'études supérieures;P
Redd;14.50;22200;1ère année d'études supérieures;B
Ike;13.00;35720;Terminale;B
Vincent;10.17;35200;Terminale;B
Bentley;12.42;22440;Terminale;B
Gervase;18.00;56400;1ère année d'études supérieures;P
Piers;15.75;22400;Terminale;AB
Jay;13.75;22190;Terminale;P
Toussaint;10.00;56260;Terminale;AB
Lorne;12.43;29710;Terminale;AB
Quin;8.60;35400;Terminale;P
Innocent;13.00;22410;Terminale;P
Jérémie;16.50;22820;Terminale;B
Quin;15.13;35400;Terminale;P
Brice;10.94;72300;1ère année d'études supérieures;P
Redd;14.75;22200;1ère année d'études supérieures;B
Ike;13.50;35720;Terminale;B
Vincent;14.50;35200;Terminale;B
Bentley;16.50;22440;Terminale;B
Donnie;7.58;56870;Terminale;AB
Jeff;7.42;22400;Terminale;AB
Telesphore;12.75;6650 ;Terminale;B
Jérémie;15.92;22300;Terminale;TB
Linton;9.70;35500;Terminale;B
Burt;11.00;22200;Terminale;P
Kipling;0.00;22470;2nd année d'études supérieures;P
Teale;10.00;56120;Terminale;B
Joscelin;8.00;29250;Terminale;P
Innocent;13.00;22410;Terminale;P
Major;12.00;56190;Terminale;AB
Uland;14.83;29800;Terminale;TB
Amédée;12.88;29800;Terminale;B
Bertram;15.49;29200;Terminale;AB
Louie;16.75;35170;1ère année d'études supérieures;AB
Milo;17.50;35000;Terminale;B
Erica;16.50;29800;Terminale;B
Flip;16.00;56530;Terminale;B
Daniel;17.62;22540;Terminale;AB
Clément;13.05;;Terminale;AB
Jon;15.71;56850;Terminale;AB
Kolby;7.46;14340;Terminale;P
Thelonius;12.36;29120;Terminale;B
Kristia;10.25;29520;Terminale;P
Leopold;8.65;50490;1ère année d'études supérieures;P
Lovell;8.10;29120;Terminale;B
Wymond;13.81;29200;1ère année d'études supérieures;B
Earnest;14.76;22480;Terminale;AB
Edwyn;10.79;29860;Terminale;AB
Kristopher;12.19;56950;Terminale;AB
Jonathan;14.15;31880;Terminale;AB
Zach;10.21;29800;Terminale;AB
Randolf;11.61;35230;Terminale;P
James;18.57;22290;1ère année d'études supérieures;B
Winton;18.15;22570;1ère année d'études supérieures;TB
Gervaise;9.82;22300;Terminale;B
Denzel;12.79;29000;Terminale;P
Maximilien;9.37;85540;Terminale;AB
Clayton;19.21;29150;1ère année d'études supérieures;AB
Jérémie;15.24;22820;Terminale;B
Morley;12.16;35500;Terminale;AB
Bertram;12.46;29200;Terminale;AB
Gratien;12.74;49000;Terminale;P
Xaviar;15.99;29200;Terminale;AB
Reena;9.52;29870;Terminale;P
Timothée;19.68;22110;Terminale;B
Gladwyn;13.73;22590;Terminale;B
Eliott;14.29;49460;Terminale;AB
Brent;17.43;35250;1ère année d'études supérieures;AB
Dayton;10.16;29200;Terminale;B
Gil;14.76;29710;Terminale;AB
Lockie;16.43;29490;Terminale;TB
Woodrow;12.63;35137;Terminale;AB
Driskoll;12.86;35720;Terminale;AB
Stanford;14.60;22170;Terminale;B
Upton;8.72;29750;Terminale;AB
Lalo;14.54;29290;Terminale;AB
Matthieu;16.35;22100;Terminale;AB
Marquis;12.78;22440;Terminale;AB
Deangelo;9.98;29720;1ère année d'études supérieures;AB
Zachary;13.81;22200;Terminale;AB
Dustin;14.13;35160;Terminale;AB
Phillip;14.76;35133;Terminale;B
Deemer;14.92;22600;Terminale;P
Elric;18.57;29233;1ère année d'études supérieures;TB
Lorne;12.10;29710;Terminale;AB
Quin;12.86;35400;Terminale;P
Diodore;12.35;29200;Terminale;P
Maverick;13.97;22550;Terminale;B
Rainier;14.13;41000;Terminale;B
Lally;13.65;22170;Terminale;B
Al;13.08;56240;1ère année d'études supérieures;P
Annie;18.89;35170;1ère année d'études supérieures;TB
Mason;14.25;29200;Terminale;P
Donnie;12.25;56870;Terminale;AB
Sylvain;13.75;29500;Terminale;B
Fabrice;18.00;29800;Terminale;AB
Perry;14.00;35000;1ère année d'études supérieures;AB
Gene;12.00;29250;Terminale;AB
Leyton;8.75;22930;Terminale;P
Kipling;16.00;22470;2nd année d'études supérieures;P
Hewie;15.50;56120;Terminale;B
Felicity;13.50;85170;Terminale;AB
Maurine;14.75;22000;Terminale;B
Kolby;10.25;14340;Terminale;P
Landon;13.75;29233;Terminale;B
Kristia;12.75;29520;Terminale;P
Everard;9.75;22300;Terminale;AB
Trent;15.50;22300;;
Everett;13.00;22940;Terminale;B
Armel;12.50;22590;Terminale;AB
Gervase;15.00;56400;1ère année d'études supérieures;P
Piers;16.00;22400;Terminale;AB
Shaw;18.50;35890;Terminale;AB
Wiley;14.75;35740;Terminale;AB
Constant;14.25;22150;Terminale;P
Alban;12.50;22300;1ère année d'études supérieures;AB
Jeffrey;10.25;29830;Terminale;AB
Edison;9.75;35000;Terminale;P
Jacob;15.00;35870;Terminale;AB
Amédée;15.75;29800;Terminale;B
Nathan;13.50;22700;Terminale;B
Guiscard;14.00;35170;Terminale;AB
Kimball;12.75;50600;Terminale;AB
Zach;11.25;29800;Terminale;AB
Deon;13.25;29800;Terminale;B
Lovel;16.75;35450;Terminale;AB
Randolf;12.00;35230;Terminale;P
Shelley;17.25;29840;Terminale;TB
Lucienne;16.50;56140;Terminale;B
Wilbur;12.75;35800;Terminale;AB
Johnie;13.25;22440;Terminale;B
Van;12.00;29490;Terminale;P
Tel;9.50;22950;Terminale;AB
Jeff;16.00;22400;Terminale;AB
Gratien;12.00;49000;Terminale;P
Dawson;19.00;35131;1ère année d'études supérieures;TB
Floyd;18.00;29590;1ère année d'études supérieures;P
Dayton;14.75;29200;Terminale;B
Xavier;14.00;29170;Terminale;P
Lorn;11.25;22100;Terminale;B
Pete;15.75;22300;1ère année d'études supérieures;AB
Kole;14.25;29190;Terminale;B
Joël;17.00;22730;Année préparatoire aux études supérieures;AB
